"Electricity consumption, per capita (kWh)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Belarus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3716.79489835156,3771.72430770865,3465.47383063005,3036.78525857206,2685.64187110681,2433.35091569205,2450.20136571333,2572.88323861206,2637.75839641453,2613.84288365758,2583.53873004564,2580.12613096914,2551.59858242298,2587.91093445542,2641.95232636181,2686.95952995602,2765.48065478605,2789.78970662572,2860.16954778671
Belgium,1249.63544584206,1300.39331645901,1416.22727805259,1533.49225366526,1710.7808220348,1816.24752701601,1923.50399671848,2040.33998848951,2278.4554714384,2507.13506923133,2710.64989935462,2880.53908089946,3202.10885869957,3512.91348886881,3711.53427179099,3489.00949891779,3828.53530730812,3987.05405730111,4188.87760969307,4449.32267108527,4403.03475646911,4407.73978117007,4383.97402758418,4507.72716609575,4724.70446358812,4900.66082449129,5002.82697276359,5251.29459990679,5472.75748077701,5634.91499489268,5817.2969964822,6049.9746643681,6230.99942840772,6277.5131164514,6565.20054008164,6741.23352179355,6866.00165400424,7043.47347841676,7240.19727846546,7280.5708515967,7556.39556733308,7594.10253273542,7608.74211814038,7719.26341596759,7791.00882311218,7739.62112958334,7960.33680869388,7978.36013573993,7948.98817574208
Benin,-,-,-,-,-,-,-,-,-,-,-,11.9012773350101,13.0391789403011,20.1000449525354,18.1885913549743,19.3651833269073,20.7811528087816,22.7294479915992,49.7058556458144,26.8320775200176,29.9093329648083,34.4690615339983,18.9511102665502,39.485995530883,34.9651705993246,35.9179490373336,33.3390494241533,32.995333414393,38.5698632362552,36.0186335266501,37.2173768738197,39.1470907763273,41.5598019218852,41.4326361373321,41.0107120747886,43.340456613923,45.879083820272,49.2993531242582,46.4181109436448,53.7708540149422,60.2103179800011,63.7483807528604,70.8912082683555,67.2255729844982,73.2812686321064,77.0137658575358,76.5754353585629,78.0006075525165,79.7014686421519
Bolivia,-,-,-,-,-,-,-,-,-,-,-,170.63764792295,178.530344258446,177.812703328666,185.386890564275,192.940510948014,206.060639936203,222.690319695038,233.680540104546,243.33356548484,259.911241766211,273.437624882241,266.786802509082,260.790674019082,260.061169365337,253.123304636024,243.532452183701,242.556731086132,255.490529930462,266.273058249593,273.7072088106,287.952677299686,296.856868932556,320.091848977286,339.697674979332,358.496105648931,376.812114207002,397.046025652824,414.283121682652,427.72380663165,425.952020332114,418.00372099725,428.8447974893,430.174024331146,444.478280764351,472.207512641301,499.364208393193,542.801657434814,575.266356943088
Bosnia and Herzegovina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2297.38748986696,1468.55017051714,901.475272749402,716.181618481442,909.811151067257,972.145534058065,1145.28183079095,1349.84093152204,1505.41489820108,1372.68357191196,1452.38935763657,1542.37151183338,1629.90247312633,1699.26704045856,1702.72159529049,1750.00696536323,1731.14985721195,1708.71299095514,1753.13830220617
Botswana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,542.669775843876,583.401484211318,603.208911180308,587.042280536529,574.761748518401,580.407862707568,582.114240642678,622.93590722282,614.461427252049,629.24663057525,684.562235557645,734.520480197585,753.518797415694,851.335690957009,861.102121420133,941.211596832246,970.539173829966,963.782510623342,1008.67693837917,1219.20877074973,1002.1250111053,1080.946056269,1130.25188040921,1452.77180580406,1520.89879063358,1555.9262315126,1906.84118596988,1965.69418936726
Brazil,-,-,-,-,-,-,-,-,-,-,-,431.598855344644,470.155742671231,523.485475005673,573.684413502019,618.046294166791,683.263538978181,749.360998466408,815.245043682573,892.069477977401,964.192723096997,966.562109360514,997.768493473927,1053.17444432016,1146.28322138981,1218.98431113631,1290.02429097208,1304.14199810553,1353.98326118227,1384.85892826398,1395.63563425913,1417.71166289878,1427.4125857358,1472.00739366509,1503.67206589239,1568.71864812683,1618.02304981429,1694.46429924275,1739.95194312283,1762.23366863562,1819.51263725709,1676.84251565543,1738.53020238334,1812.40265210951,1883.79318388571,1943.57997118672,1996.22558234771,2078.47339723021,2136.06778618642
Brunei,-,-,-,-,-,-,-,-,-,-,-,1573.97984204478,1519.70812720848,1460.61968726321,1430.72105960265,1382.88779501098,1336.65920087115,1291.97493062865,1248.77965317919,1207.60250197039,1603.78717201166,2126.59686461202,2461.99079551607,2862.45331160201,3047.23929433193,3011.23601934473,2951.89954807173,3828.91598720242,3897.86894488409,3904.06836078594,3920.57295136576,3897.24000195579,4184.1502223229,4812.75843945539,5247.6319788889,5910.14843298332,6523.51787672017,7403.35364823018,7522.25639525657,7141.55864052113,7299.69409232526,6443.70490000087,6558.64148555991,7641.74186954409,8425.86018929449,8243.48527369945,7907.72814960837,8060.7297075633,7992.77882663238
Bulgaria,-,-,-,-,-,-,-,-,-,-,-,2038.11223590286,2201.37096616217,2405.95523232406,2546.67900024716,2695.43925964098,2895.76876031478,3080.46028758368,3285.61651275246,3391.5992223423,3356.84385010145,3706.65035147085,3940.04938092225,4101.16854636732,4268.33575728156,3923.85858090497,4133.78899782001,4165.16944684761,4251.81102702342,4217.86342352744,3966.52101387583,3440.73938074645,3022.88990964492,3105.20197652843,3172.59746676028,3475.63237821215,3663.18894217467,3337.54706667706,3279.785074188,3014.89906979744,3102.30615738707,3178.61261787942,3143.56126805206,3312.75729175548,3313.45737474716,3452.27168284331,3641.36810533586,3716.84093013957,3946.50156588309
Cambodia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.5738744080555,16.0309294472343,19.9476413485845,23.8133515747408,23.4538185095926,28.4819860195462,31.9856522118588,35.8237670274417,41.0402936314876,47.5587855537784,54.5696832843981,71.8355151815444,95.829134428042,113.937712656459
